PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;716;Tholen;4631;Woensdrecht;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;716;Tholen;4661;Bergen op Zoom;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;716;Tholen;4675;Tholen;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4691;Tholen;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;7;5;5;3;9;8;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46
20171001;716;Tholen;4694;Tholen;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4697;Tholen;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4698;Tholen;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;1;3;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;716;Tholen;4731;Halderberge;00FQ;00;Montessori BS De Kraal;4691HT;THOLEN;Zeeland;Bo;Algemeen bijzonder;30124;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4675;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;716;Tholen;4691;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;1;2;0;0;1;6;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;716;Tholen;4693;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4694;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;716;Tholen;4695;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;1;2;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;716;Tholen;4696;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;716;Tholen;4697;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;2;1;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;716;Tholen;4698;Tholen;00NY;00;SSBO De Veste;4691CK;THOLEN;Zeeland;Sbo;Algemeen bijzonder;40876;0;0;0;0;0;1;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;716;Tholen;4401;Reimerswaal;03IK;00;Basisschool Eben Haezer;4691HS;THOLEN;Zeeland;Bo;Reformatorisch;25833;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;716;Tholen;4661;Bergen op Zoom;03IK;00;Basisschool Eben Haezer;4691HS;THOLEN;Zeeland;Bo;Reformatorisch;25833;0;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;716;Tholen;4671;Steenbergen;03IK;00;Basisschool Eben Haezer;4691HS;THOLEN;Zeeland;Bo;Reformatorisch;25833;0;4;7;4;5;2;6;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;716;Tholen;4691;Tholen;03IK;00;Basisschool Eben Haezer;4691HS;THOLEN;Zeeland;Bo;Reformatorisch;25833;0;26;35;32;30;30;32;30;27;3;0;0;0;0;0;0;0;0;0;0;0;0;0;245
20171001;716;Tholen;4693;Tholen;03IK;00;Basisschool Eben Haezer;4691HS;THOLEN;Zeeland;Bo;Reformatorisch;25833;0;3;2;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
