PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;855;Tilburg;  40;Onbekend;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;So;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;855;Tilburg;4702;Roosendaal;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;855;Tilburg;4811;Breda;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;855;Tilburg;4904;Oosterhout;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;So;Rooms-Katholiek;73114;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;855;Tilburg;5011;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;So;Rooms-Katholiek;73114;0;0;0;3;1;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;855;Tilburg;5011;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;1;1;2;2;0;1;0;0;0;0;0;0;0;0;7
20171001;855;Tilburg;5012;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2
20171001;855;Tilburg;5014;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;So;Rooms-Katholiek;73114;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;855;Tilburg;5014;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2
20171001;855;Tilburg;5017;Tilburg;01FX;00;ZML De Bodde;5044EL;TILBURG;Noord-Brabant;Vso;Rooms-Katholiek;73114;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
