PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;183;Tubbergen;  20;Duitsland;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;183;Tubbergen;  30;ander land;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;183;Tubbergen;7638;Dinkelland;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;183;Tubbergen;7651;Tubbergen;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;183;Tubbergen;7661;Tubbergen;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;7;15;7;13;5;10;10;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;81
20171001;183;Tubbergen;7662;Tubbergen;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;1;1;1;2;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;183;Tubbergen;7663;Tubbergen;00GV;00;Basisschool Maria-School;7661RA;VASSE;Overijssel;Bo;Rooms-Katholiek;50949;0;4;5;4;7;7;3;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;183;Tubbergen;7597;Dinkelland;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;183;Tubbergen;7651;Tubbergen;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;183;Tubbergen;7666;Tubbergen;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;2;11;7;4;12;8;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;183;Tubbergen;7667;Tubbergen;00IF;00;RK BS Heilig Hart;7666LH;FLERINGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;183;Tubbergen;  20;Duitsland;03XZ;00;Basissch De Wiekslag;7651BS;TUBBERGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;183;Tubbergen;7602;Almelo;03XZ;00;Basissch De Wiekslag;7651BS;TUBBERGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;183;Tubbergen;7604;Almelo;03XZ;00;Basissch De Wiekslag;7651BS;TUBBERGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;183;Tubbergen;7615;Tubbergen;03XZ;00;Basissch De Wiekslag;7651BS;TUBBERGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;183;Tubbergen;7631;Dinkelland;03XZ;00;Basissch De Wiekslag;7651BS;TUBBERGEN;Overijssel;Bo;Rooms-Katholiek;50949;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
