PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1700;Twenterand;7447;Hellendoorn;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1700;Twenterand;7608;Almelo;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1700;Twenterand;7645;Wierden;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1700;Twenterand;7671;Twenterand;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;1;2;2;0;0;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1700;Twenterand;7672;Twenterand;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1700;Twenterand;7676;Twenterand;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1700;Twenterand;7681;Twenterand;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;2;4;3;7;6;11;12;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;1700;Twenterand;7683;Twenterand;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;1;2;6;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1700;Twenterand;7687;Hellendoorn;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1700;Twenterand;7688;Hellendoorn;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1700;Twenterand;7693;Hardenberg;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1700;Twenterand;7694;Hardenberg;01KZ;00;Chr SSBO;7681AE;VROOMSHOOP;Overijssel;Sbo;Protestants-Christelijk;61751;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
