PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1730;Tynaarlo;8918;Leeuwarden;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1730;Tynaarlo;9495;Tynaarlo;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1730;Tynaarlo;9713;Groningen;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1730;Tynaarlo;9727;Groningen;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1730;Tynaarlo;9728;Groningen;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;7;11;6;14;12;9;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;69
20171001;1730;Tynaarlo;9752;Haren;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1730;Tynaarlo;9761;Tynaarlo;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;12;13;13;10;11;10;9;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85
20171001;1730;Tynaarlo;9765;Tynaarlo;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;12;24;18;23;11;19;12;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;130
20171001;1730;Tynaarlo;9766;Tynaarlo;05NQ;00;Menso Altingschool;9765BH;PATERSWOLDE;Drenthe;Bo;Protestants-Christelijk;41486;0;16;20;22;10;14;19;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;119
20171001;1730;Tynaarlo;9402;Assen;06EY;00;Geref BS De Lichtkring;9471RM;ZUIDLAREN;Drenthe;Bo;Gereformeerd vrijgemaakt;41025;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
