PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;737;Tytsjerksteradiel;9255;Tytsjerksteradiel;04SX;00;Chr Basissch Dubel Ien;9265LV;SUWALD;Friesland;Bo;Protestants-Christelijk;42754;0;2;1;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;737;Tytsjerksteradiel;9265;Tytsjerksteradiel;04SX;00;Chr Basissch Dubel Ien;9265LV;SUWALD;Friesland;Bo;Protestants-Christelijk;42754;0;8;7;8;7;11;9;9;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72
20171001;737;Tytsjerksteradiel;6471;Kerkrade;05OW;00;CBS De Winde;9254CS;HURDEGARYP;Friesland;Bo;Protestants-Christelijk;42754;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;737;Tytsjerksteradiel;8927;Leeuwarden;05OW;00;CBS De Winde;9254CS;HURDEGARYP;Friesland;Bo;Protestants-Christelijk;42754;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;737;Tytsjerksteradiel;9251;Tytsjerksteradiel;05OW;00;CBS De Winde;9254CS;HURDEGARYP;Friesland;Bo;Protestants-Christelijk;42754;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;737;Tytsjerksteradiel;9254;Tytsjerksteradiel;05OW;00;CBS De Winde;9254CS;HURDEGARYP;Friesland;Bo;Protestants-Christelijk;42754;0;28;28;22;29;29;29;25;31;2;0;0;0;0;0;0;0;0;0;0;0;0;0;223
20171001;737;Tytsjerksteradiel;9255;Tytsjerksteradiel;05OW;00;CBS De Winde;9254CS;HURDEGARYP;Friesland;Bo;Protestants-Christelijk;42754;0;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;737;Tytsjerksteradiel;9219;Smallingerland;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;Friesland;Bo;Protestants-Christelijk;42754;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;737;Tytsjerksteradiel;9257;Tytsjerksteradiel;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;Friesland;Bo;Protestants-Christelijk;42754;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;737;Tytsjerksteradiel;9261;Tytsjerksteradiel;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;Friesland;Bo;Protestants-Christelijk;42754;0;13;22;12;12;16;11;15;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;113
20171001;737;Tytsjerksteradiel;9288;Achtkarspelen;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;Friesland;Bo;Protestants-Christelijk;42754;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;737;Tytsjerksteradiel;9289;Achtkarspelen;06PZ;00;De Balsemyn;9261ZH;EASTERMAR;Friesland;Bo;Protestants-Christelijk;42754;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
