PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;856;Uden;5262;Vught;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5361;Grave;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5375;Landerd;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5388;Bernheze;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5401;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;856;Uden;5402;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;2;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;856;Uden;5403;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;1;0;3;0;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;856;Uden;5406;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;856;Uden;5408;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5409;Uden;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5411;Landerd;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;856;Uden;5427;Boekel;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;856;Uden;5428;Boekel;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5451;Mill en Sint Hubert;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5461;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5463;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5464;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5465;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5466;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5467;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;1;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;856;Uden;5469;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;856;Uden;5472;Bernheze;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;856;Uden;5473;Bernheze;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;856;Uden;5481;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;856;Uden;5491;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;856;Uden;5492;Meierijstad;00RT;03;De Sonnewijser;5402EK;UDEN;Noord-Brabant;So;Algemeen bijzonder;42572;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5388;Bernheze;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5401;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;1;5;1;2;2;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;856;Uden;5402;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;2;4;8;8;9;4;7;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;53
20171001;856;Uden;5403;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;0;0;0;2;1;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;856;Uden;5406;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;3;3;4;0;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;856;Uden;5408;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5409;Uden;04VY;00;PC Basisschool Marimba;5402HM;UDEN;Noord-Brabant;Bo;Protestants-Christelijk;32177;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5403;Uden;05YW;00;RK Basisschool Den Dijk;5409AD;ODILIAPEEL;Noord-Brabant;Bo;Rooms-Katholiek;32177;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;856;Uden;5409;Uden;05YW;00;RK Basisschool Den Dijk;5409AD;ODILIAPEEL;Noord-Brabant;Bo;Rooms-Katholiek;32177;0;25;12;13;21;24;20;18;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;149
20171001;856;Uden;5454;Mill en Sint Hubert;05YW;00;RK Basisschool Den Dijk;5409AD;ODILIAPEEL;Noord-Brabant;Bo;Rooms-Katholiek;32177;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5455;Mill en Sint Hubert;05YW;00;RK Basisschool Den Dijk;5409AD;ODILIAPEEL;Noord-Brabant;Bo;Rooms-Katholiek;32177;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5341;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5342;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5345;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5346;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5348;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5356;Oss;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;856;Uden;5364;Grave;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;856;Uden;5388;Bernheze;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;856;Uden;5401;Uden;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;1;2;4;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;856;Uden;5402;Uden;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;5;2;6;6;2;3;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;856;Uden;5403;Uden;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;8;10;5;10;8;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
20171001;856;Uden;5404;Uden;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;856;Uden;5405;Uden;06TT;00;Vrijeschool De Zevenster;5403NA;UDEN;Noord-Brabant;Bo;Antroposofisch;41246;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
