PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;450;Uitgeest;1911;Uitgeest;07VV;00;De Molenhoek-School;1911BS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;18;18;32;16;24;16;28;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;169
20171001;450;Uitgeest;1521;Zaanstad;09AR;00;De Vrijburg-School;1911VA;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1906;Castricum;09AR;00;De Vrijburg-School;1911VA;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1911;Uitgeest;09AR;00;De Vrijburg-School;1911VA;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;11;11;9;9;13;13;20;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20171001;450;Uitgeest;1962;Heemskerk;09AR;00;De Vrijburg-School;1911VA;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1489;Castricum;09XO;00;RK Binnenmeerschool;1911AS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1562;Zaanstad;09XO;00;RK Binnenmeerschool;1911AS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;450;Uitgeest;1816;Alkmaar;09XO;00;RK Binnenmeerschool;1911AS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1906;Castricum;09XO;00;RK Binnenmeerschool;1911AS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1911;Uitgeest;09XO;00;RK Binnenmeerschool;1911AS;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;31;32;38;31;27;32;26;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;241
20171001;450;Uitgeest;1403;Gooise Meren;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1566;Zaanstad;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1705;Heerhugowaard;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1911;Uitgeest;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;14;18;22;17;22;26;24;19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;166
20171001;450;Uitgeest;1947;Beverwijk;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1963;Heemskerk;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1967;Heemskerk;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1972;Velsen;24UA;00;OBS De Wissel;1911KX;UITGEEST;Noord-Holland;Bo;Openbaar;41191;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1911;Uitgeest;28AN;00;Kornak;1911LP;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;48;50;67;49;65;62;66;51;6;0;0;0;0;0;0;0;0;0;0;0;0;0;464
20171001;450;Uitgeest;1945;Beverwijk;28AN;00;Kornak;1911LP;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1962;Heemskerk;28AN;00;Kornak;1911LP;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;450;Uitgeest;1963;Heemskerk;28AN;00;Kornak;1911LP;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;450;Uitgeest;1967;Heemskerk;28AN;00;Kornak;1911LP;UITGEEST;Noord-Holland;Bo;Rooms-Katholiek;40712;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
