PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;451;Uithoorn;1079;Amsterdam;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1106;Amsterdam;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1111;Diemen;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1187;Amstelveen;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1421;Uithoorn;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;2;2;7;7;2;5;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;451;Uithoorn;1422;Uithoorn;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;11;25;17;25;30;30;28;23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;190
20171001;451;Uithoorn;1423;Uithoorn;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;451;Uithoorn;1427;De Ronde Venen;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;451;Uithoorn;1431;Aalsmeer;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1432;Aalsmeer;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;451;Uithoorn;1433;Aalsmeer;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;3646;De Ronde Venen;00DD;00;Basissch Het Startnest;1422LE;UITHOORN;Noord-Holland;Bo;Rooms-Katholiek;30090;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1182;Amstelveen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;451;Uithoorn;1184;Amstelveen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1186;Amstelveen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1187;Amstelveen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;451;Uithoorn;1188;Amstelveen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1191;Ouder-Amstel;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;451;Uithoorn;1391;De Ronde Venen;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;451;Uithoorn;1421;Uithoorn;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;1;1;0;1;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;451;Uithoorn;1422;Uithoorn;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;1;2;1;1;2;2;5;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;451;Uithoorn;1423;Uithoorn;02TL;00;SSBO De Dolfijn;1422WX;UITHOORN;Noord-Holland;Sbo;Rooms-Katholiek;41008;0;0;0;0;1;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
