PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;184;Urk;8321;Urk;03WY;00;Dr Maarten Luther;8321XP;URK;Flevoland;Bo;Reformatorisch;49844;0;21;29;26;29;27;25;24;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;200
20171001;184;Urk;8309;Noordoostpolder;04XA;00;Johannes Calvijnschool;8321JA;URK;Flevoland;Bo;Reformatorisch;48933;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;184;Urk;8321;Urk;04XA;00;Johannes Calvijnschool;8321JA;URK;Flevoland;Bo;Reformatorisch;48933;0;36;28;27;26;29;25;24;24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;220
20171001;184;Urk;8321;Urk;06NG;00;Du Marchie v Voorthuysen;8321RJ;URK;Flevoland;Bo;Reformatorisch;49844;0;13;24;20;25;21;28;26;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;177
20171001;184;Urk;8322;Urk;06NG;00;Du Marchie v Voorthuysen;8321RJ;URK;Flevoland;Bo;Reformatorisch;49844;0;1;1;2;3;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;184;Urk;1326;Almere;11DO;00;Basisschool Wilhelmina;8321JB;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;184;Urk;8309;Noordoostpolder;11DO;00;Basisschool Wilhelmina;8321JB;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;184;Urk;8321;Urk;11DO;00;Basisschool Wilhelmina;8321JB;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;34;32;31;29;37;24;25;22;2;0;0;0;0;0;0;0;0;0;0;0;0;0;236
20171001;184;Urk;8322;Urk;11DO;00;Basisschool Wilhelmina;8321JB;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;184;Urk;1312;Almere;11QD;00;De Regenboog;8321XG;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;184;Urk;8321;Urk;11QD;00;De Regenboog;8321XG;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;29;23;28;29;30;25;25;41;5;1;0;0;0;0;0;0;0;0;0;0;0;0;236
20171001;184;Urk;8322;Urk;11QD;00;De Regenboog;8321XG;URK;Flevoland;Bo;Protestants-Christelijk;53015;0;0;0;1;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
