PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;344;Utrecht;1221;Hilversum;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3319;Dordrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3401;IJsselstein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3402;IJsselstein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;344;Utrecht;3404;IJsselstein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3411;Lopik;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3417;Montfoort;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3431;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3433;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3433;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3434;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3437;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3438;Nieuwegein;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3443;Woerden;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3445;Woerden;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3448;Woerden;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3451;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3451;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3452;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;344;Utrecht;3452;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3453;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3454;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3454;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3474;Woerden;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3481;Woerden;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3513;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;344;Utrecht;3515;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3522;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;1;1;2;0;1;0;0;0;0;0;0;0;0;5
20171001;344;Utrecht;3523;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;344;Utrecht;3523;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;4
20171001;344;Utrecht;3524;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;344;Utrecht;3524;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;2;1;3;0;0;0;0;0;0;0;0;0;0;6
20171001;344;Utrecht;3525;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;344;Utrecht;3525;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;344;Utrecht;3526;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;344;Utrecht;3526;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;Vso;Openbaar;41400;0;0;0;0;0;0;0;0;0;0;1;3;3;1;0;1;0;0;0;0;0;0;0;9
20171001;344;Utrecht;3527;Utrecht;00PQ;00;De Pels;3571KL;UTRECHT;Utrecht;So;Openbaar;41400;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
