PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1581;Utrechtse Heuvelrug;1062;Amsterdam;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3402;IJsselstein;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3421;Oudewater;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3432;Nieuwegein;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3443;Woerden;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3451;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3466;Bodegraven-Reeuwijk;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3471;Woerden;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3474;Woerden;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3524;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3526;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3544;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3555;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3563;Utrecht;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3701;Zeist;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3705;Zeist;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3707;Zeist;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3721;De Bilt;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3812;Amersfoort;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
20171001;1581;Utrechtse Heuvelrug;3904;Veenendaal;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3911;Rhenen;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3945;Wijk bij Duurstede;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3953;Utrechtse Heuvelrug;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;1;7;1;0;0;0;0;0;0;0;0;0;9
20171001;1581;Utrechtse Heuvelrug;3958;Utrechtse Heuvelrug;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1581;Utrechtse Heuvelrug;3961;Wijk bij Duurstede;01KI;00;SSVO School De Sprong;3953MC;MAARSBERGEN;Utrecht;Vso;Openbaar;42756;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
