PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;981;Vaals;6285;Gulpen-Wittem;06MS;00;Basisschool op de Top;6294AT;VIJLEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;6291;Vaals;06MS;00;Basisschool op de Top;6294AT;VIJLEN;Limburg;Bo;Rooms-Katholiek;41506;0;1;3;3;0;1;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;981;Vaals;6294;Vaals;06MS;00;Basisschool op de Top;6294AT;VIJLEN;Limburg;Bo;Rooms-Katholiek;41506;0;10;11;13;8;11;9;9;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;80
20171001;981;Vaals;6295;Vaals;06MS;00;Basisschool op de Top;6294AT;VIJLEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;3;5;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;981;Vaals;  10;Belgie;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;  20;Duitsland;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;981;Vaals;  30;ander land;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;981;Vaals;6287;Gulpen-Wittem;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;6291;Vaals;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;23;24;16;18;27;24;22;14;4;1;0;0;0;0;0;0;0;0;0;0;0;0;173
20171001;981;Vaals;6295;Vaals;10KI;00;R.K. BS De Kleine Wereld;6291HS;VAALS;Limburg;Bo;Rooms-Katholiek;41506;0;3;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;981;Vaals;  10;Belgie;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;981;Vaals;6255;Eijsden-Margraten;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;6281;Gulpen-Wittem;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;6291;Vaals;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;16;15;15;17;16;16;15;23;1;1;0;0;0;0;0;0;0;0;0;0;0;0;135
20171001;981;Vaals;6294;Vaals;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;981;Vaals;6295;Vaals;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;2;4;3;6;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;981;Vaals;6301;Valkenburg aan de Geul;18DW;00;OBS BS De Robbedoes;6291KC;VAALS;Limburg;Bo;Openbaar;41516;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
