PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;858;Valkenswaard;5503;Veldhoven;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;858;Valkenswaard;5551;Valkenswaard;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;9;14;8;4;4;10;6;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20171001;858;Valkenswaard;5552;Valkenswaard;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;1;2;1;3;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;858;Valkenswaard;5555;Valkenswaard;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;858;Valkenswaard;5626;Eindhoven;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;858;Valkenswaard;5632;Eindhoven;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;858;Valkenswaard;5667;Geldrop-Mierlo;03AP;00;Basisschool De Belhamel;5551EG;VALKENSWAARD;Noord-Brabant;Bo;Openbaar;41662;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;858;Valkenswaard;5508;Veldhoven;05JT;00;SSBO De Zonnewijzer;5552HP;VALKENSWAARD;Noord-Brabant;Sbo;Rooms-Katholiek;31384;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;858;Valkenswaard;5551;Valkenswaard;05JT;00;SSBO De Zonnewijzer;5552HP;VALKENSWAARD;Noord-Brabant;Sbo;Rooms-Katholiek;31384;0;1;1;0;1;1;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;858;Valkenswaard;5552;Valkenswaard;05JT;00;SSBO De Zonnewijzer;5552HP;VALKENSWAARD;Noord-Brabant;Sbo;Rooms-Katholiek;31384;0;0;1;0;0;0;1;3;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;858;Valkenswaard;5553;Valkenswaard;05JT;00;SSBO De Zonnewijzer;5552HP;VALKENSWAARD;Noord-Brabant;Sbo;Rooms-Katholiek;31384;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
