PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;47;Veendam;9631;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;47;Veendam;9641;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;1;1;0;1;0;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;47;Veendam;9642;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;20;31;23;24;36;30;31;31;6;1;0;0;0;0;0;0;0;0;0;0;0;0;233
20171001;47;Veendam;9644;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;47;Veendam;9646;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9648;Veendam;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;3;1;3;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;47;Veendam;9649;Menterwolde;13GU;00;OBS de Viermaster;9642KX;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9605;Hoogezand-Sappemeer;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;47;Veendam;9631;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;47;Veendam;9636;Menterwolde;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9641;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;9;8;8;6;4;11;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58
20171001;47;Veendam;9642;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;3;5;9;5;7;4;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;47;Veendam;9644;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9645;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;6;8;8;9;4;3;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;47;Veendam;9646;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;19;19;20;27;25;20;23;28;3;0;0;0;0;0;0;0;0;0;0;0;0;0;184
20171001;47;Veendam;9648;Veendam;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;47;Veendam;9649;Menterwolde;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;47;Veendam;9678;Oldambt;13QO;00;Obs de Braskorf;9646DC;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;5506;Veldhoven;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9611;Hoogezand-Sappemeer;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9641;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;5;3;8;7;8;6;4;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;47;Veendam;9642;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;2;1;2;3;4;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;47;Veendam;9644;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9645;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;9;12;19;8;12;10;10;12;5;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20171001;47;Veendam;9646;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9648;Veendam;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9649;Menterwolde;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9663;Pekela;13UO;00;OBS De Noorderbreedte;9645PK;VEENDAM;Groningen;Bo;Openbaar;41780;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;47;Veendam;9631;Veendam;14EK;00;OBS Westerschool;9648AJ;WILDERVANK;Groningen;Bo;Openbaar;41780;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9636;Menterwolde;14EK;00;OBS Westerschool;9648AJ;WILDERVANK;Groningen;Bo;Openbaar;41780;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;47;Veendam;9641;Veendam;14EK;00;OBS Westerschool;9648AJ;WILDERVANK;Groningen;Bo;Openbaar;41780;0;1;2;0;3;1;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
