PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;345;Veenendaal;3901;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;0;5;4;3;5;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;345;Veenendaal;3902;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;1;5;3;6;5;4;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;345;Veenendaal;3903;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;4;0;0;1;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;345;Veenendaal;3904;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;2;0;1;1;1;1;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;345;Veenendaal;3905;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;2;3;1;2;5;6;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;345;Veenendaal;3906;Veenendaal;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;3;3;2;2;4;2;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;345;Veenendaal;3959;Utrechtse Heuvelrug;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6718;Ede;03ZD;00;GBS De Plantage;3901SM;VEENENDAAL;Utrecht;Bo;Gereformeerd vrijgemaakt;40945;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3721;De Bilt;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3771;Barneveld;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3781;Barneveld;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3901;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;1;1;1;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;345;Veenendaal;3902;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;1;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;345;Veenendaal;3903;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3904;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;1;2;2;2;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;345;Veenendaal;3905;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;1;1;2;1;2;2;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;345;Veenendaal;3906;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3907;Veenendaal;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;1;1;0;0;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;345;Veenendaal;3911;Rhenen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;3921;Rhenen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;345;Veenendaal;3925;Scherpenzeel;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;3927;Renswoude;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3931;Woudenberg;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;3956;Utrechtse Heuvelrug;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;3958;Utrechtse Heuvelrug;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;345;Veenendaal;4691;Tholen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6706;Wageningen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;6707;Wageningen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6708;Wageningen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;6709;Wageningen;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6711;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;345;Veenendaal;6715;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6717;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;345;Veenendaal;6718;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;345;Veenendaal;6721;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6744;Ede;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;6861;Renkum;04AK;02;C. P. van Leersumschool;3902DG;VEENENDAAL;Utrecht;So;Protestants-Christelijk;41879;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;345;Veenendaal;3901;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;4;5;5;6;3;3;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;345;Veenendaal;3902;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;5;5;3;11;13;9;6;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;65
20171001;345;Veenendaal;3903;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;4;2;3;2;7;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;345;Veenendaal;3904;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;3;5;1;5;3;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;345;Veenendaal;3905;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;8;7;13;8;8;11;8;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;74
20171001;345;Veenendaal;3906;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;1;3;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;345;Veenendaal;3907;Veenendaal;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;345;Veenendaal;3921;Rhenen;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;345;Veenendaal;3927;Renswoude;06KM;00;Dr C Steenblok School;3901SM;VEENENDAAL;Utrecht;Bo;Reformatorisch;42980;0;1;1;1;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
