PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;717;Veere;4356;Veere;03CT;00;De Golfslag;4357EN;DOMBURG;Zeeland;Bo;Openbaar;42610;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4357;Veere;03CT;00;De Golfslag;4357EN;DOMBURG;Zeeland;Bo;Openbaar;42610;0;15;16;11;11;13;16;17;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;110
20171001;717;Veere;4363;Veere;03CT;00;De Golfslag;4357EN;DOMBURG;Zeeland;Bo;Openbaar;42610;0;3;2;0;3;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;717;Veere;2904;Capelle aan den IJssel;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4337;Middelburg;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4352;Veere;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;0;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;717;Veere;4353;Veere;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;7;10;9;10;13;14;9;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;717;Veere;4356;Veere;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;717;Veere;4357;Veere;03WV;00;Basisschool de Wegwijzer;4353AN;SEROOSKERKE WALCHEREN;Zeeland;Bo;Protestants-Christelijk;40959;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;717;Veere;4333;Middelburg;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4334;Middelburg;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;717;Veere;4335;Middelburg;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;717;Veere;4363;Veere;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4371;Veere;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;5;15;15;15;14;19;18;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;114
20171001;717;Veere;4381;Vlissingen;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4384;Vlissingen;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;1;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;717;Veere;4386;Vlissingen;04GK;00;De Sprong;4371EZ;KOUDEKERKE;Zeeland;Bo;Openbaar;42610;0;1;4;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;717;Veere;4353;Veere;04UQ;00;Basissch De Goede Polder;4354AV;VROUWENPOLDER;Zeeland;Bo;Protestants-Christelijk;40959;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4354;Veere;04UQ;00;Basissch De Goede Polder;4354AV;VROUWENPOLDER;Zeeland;Bo;Protestants-Christelijk;40959;0;8;8;7;7;9;7;7;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62
20171001;717;Veere;4352;Veere;05RT;00;Eben Haezersch;4356DC;OOSTKAPELLE;Zeeland;Bo;Reformatorisch;89571;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;717;Veere;4353;Veere;05RT;00;Eben Haezersch;4356DC;OOSTKAPELLE;Zeeland;Bo;Reformatorisch;89571;0;3;4;7;4;4;3;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;717;Veere;4354;Veere;05RT;00;Eben Haezersch;4356DC;OOSTKAPELLE;Zeeland;Bo;Reformatorisch;89571;0;0;1;1;3;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
