PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;453;Velsen;1943;Beverwijk;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;453;Velsen;1951;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;453;Velsen;1962;Heemskerk;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;453;Velsen;1965;Heemskerk;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;453;Velsen;1971;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;453;Velsen;1972;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;2;1;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;453;Velsen;1973;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;453;Velsen;1974;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;1;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;453;Velsen;1975;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;453;Velsen;1976;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;453;Velsen;1991;Velsen;00RL;13;Antoniusschool;1971GZ;IJMUIDEN;Noord-Holland;So;Samenwerking PC, RK;41008;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
