PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;622;Vlaardingen;3026;Rotterdam;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;622;Vlaardingen;3117;Schiedam;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;622;Vlaardingen;3118;Schiedam;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;622;Vlaardingen;3122;Schiedam;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;622;Vlaardingen;3123;Schiedam;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;622;Vlaardingen;3131;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;1;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;622;Vlaardingen;3132;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;0;1;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;622;Vlaardingen;3134;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;2;1;0;2;3;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;622;Vlaardingen;3135;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;7;2;4;4;2;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;622;Vlaardingen;3136;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;1;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;622;Vlaardingen;3137;Vlaardingen;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;4;2;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;622;Vlaardingen;3141;Maassluis;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;622;Vlaardingen;3144;Maassluis;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;622;Vlaardingen;3155;Midden-Delfland;03HI;00;Het Christal;3135PS;VLAARDINGEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;622;Vlaardingen;3112;Schiedam;03ZB;00;Jenaplan Basisschool;3135BK;VLAARDINGEN;Zuid-Holland;Bo;Algemeen bijzonder;59750;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;622;Vlaardingen;3117;Schiedam;03ZB;00;Jenaplan Basisschool;3135BK;VLAARDINGEN;Zuid-Holland;Bo;Algemeen bijzonder;59750;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
