PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;718;Vlissingen;4335;Middelburg;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;3;0;5;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;718;Vlissingen;4339;Middelburg;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4371;Veere;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;2;2;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;718;Vlissingen;4373;Veere;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4381;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;718;Vlissingen;4382;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;718;Vlissingen;4383;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;718;Vlissingen;4384;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;718;Vlissingen;4385;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;1;3;1;5;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;718;Vlissingen;4386;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;4;2;2;5;2;2;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;718;Vlissingen;4387;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;2;1;0;4;2;4;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;718;Vlissingen;4388;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;4;5;8;8;6;7;7;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;718;Vlissingen;4389;Vlissingen;03IA;00;Graaf Jan van Nassau Sch;4386AK;VLISSINGEN;Zeeland;Bo;Reformatorisch;42724;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;718;Vlissingen;4336;Middelburg;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4371;Veere;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4381;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;3;2;3;2;2;4;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;718;Vlissingen;4382;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;5;9;4;7;7;7;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;718;Vlissingen;4383;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;12;10;11;7;14;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66
20171001;718;Vlissingen;4384;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;1;1;1;2;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;718;Vlissingen;4385;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;3;4;4;4;3;2;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;718;Vlissingen;4386;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;1;4;3;3;7;2;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;718;Vlissingen;4387;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;0;2;1;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;718;Vlissingen;4388;Vlissingen;04SC;00;Sch Vlissingse Schoolver;4383WB;VLISSINGEN;Zeeland;Bo;Algemeen bijzonder;40340;0;2;1;2;1;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;718;Vlissingen;  10;Belgie;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4381;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;1;1;4;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;718;Vlissingen;4382;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;15;22;13;13;13;9;13;7;4;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;718;Vlissingen;4383;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;4;3;2;6;7;2;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;718;Vlissingen;4384;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4385;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;2;2;1;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;718;Vlissingen;4388;Vlissingen;10QA;00;RK BS Jozef;4382KB;VLISSINGEN;Zeeland;Bo;Rooms-Katholiek;77533;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4332;Middelburg;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4334;Middelburg;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4336;Middelburg;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;718;Vlissingen;4337;Middelburg;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4341;Middelburg;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4381;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;1;0;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;718;Vlissingen;4382;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;3;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;718;Vlissingen;4383;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4384;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4385;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;718;Vlissingen;4386;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;1;2;2;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;718;Vlissingen;4387;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4388;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;34;22;33;22;26;26;30;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;222
20171001;718;Vlissingen;4389;Vlissingen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;1;0;3;0;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;718;Vlissingen;4921;Drimmelen;10XE;00;De Burcht Rietheim;4388CT;OOST-SOUBURG;Zeeland;Bo;Protestants-Christelijk;42653;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4381;Vlissingen;11JV;00;Het Vlot;4382KB;VLISSINGEN;Zeeland;Bo;Samenwerking PC, RK;42653;0;17;19;18;18;13;10;7;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;113
20171001;718;Vlissingen;4382;Vlissingen;11JV;00;Het Vlot;4382KB;VLISSINGEN;Zeeland;Bo;Samenwerking PC, RK;42653;0;16;15;12;15;15;16;14;13;2;1;0;0;0;0;0;0;0;0;0;0;0;0;119
20171001;718;Vlissingen;4383;Vlissingen;11JV;00;Het Vlot;4382KB;VLISSINGEN;Zeeland;Bo;Samenwerking PC, RK;42653;0;3;1;3;3;2;1;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;718;Vlissingen;4384;Vlissingen;11JV;00;Het Vlot;4382KB;VLISSINGEN;Zeeland;Bo;Samenwerking PC, RK;42653;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4385;Vlissingen;11JV;00;Het Vlot;4382KB;VLISSINGEN;Zeeland;Bo;Samenwerking PC, RK;42653;0;0;0;2;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;718;Vlissingen;  30;ander land;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;718;Vlissingen;4332;Middelburg;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4339;Middelburg;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4371;Veere;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;718;Vlissingen;4381;Vlissingen;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;3;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;718;Vlissingen;4382;Vlissingen;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;6;3;7;4;4;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;718;Vlissingen;4383;Vlissingen;11VK;00;Louise de Colignyschool;4384EV;VLISSINGEN;Zeeland;Bo;Protestants-Christelijk;42653;0;3;2;2;3;3;2;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
