PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;986;Voerendaal;6191;Beek;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6229;Maastricht;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6301;Valkenburg aan de Geul;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6305;Valkenburg aan de Geul;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;986;Voerendaal;6311;Voerendaal;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;986;Voerendaal;6341;Valkenburg aan de Geul;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6342;Valkenburg aan de Geul;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6343;Voerendaal;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;23;24;14;23;15;16;21;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;146
20171001;986;Voerendaal;6361;Nuth;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;986;Voerendaal;6367;Voerendaal;03OB;00;Basisschool Ummer Clumme;6343RJ;KLIMMEN;Limburg;Bo;Rooms-Katholiek;41506;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
