PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;626;Voorschoten;2245;Wassenaar;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2251;Voorschoten;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;4;10;7;10;10;9;18;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;82
20171001;626;Voorschoten;2252;Voorschoten;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;30;28;28;26;25;23;19;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;198
20171001;626;Voorschoten;2253;Voorschoten;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;1;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;626;Voorschoten;2254;Voorschoten;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;10;6;6;4;3;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
20171001;626;Voorschoten;2261;Leidschendam-Voorburg;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2263;Leidschendam-Voorburg;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2331;Leiden;03NT;00;RK Basissch De Regenboog;2252TR;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2251;Voorschoten;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;3;2;3;1;6;3;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;626;Voorschoten;2252;Voorschoten;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;626;Voorschoten;2253;Voorschoten;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;14;17;12;16;11;11;18;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;115
20171001;626;Voorschoten;2254;Voorschoten;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;2;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;626;Voorschoten;2311;Leiden;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2313;Leiden;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2321;Leiden;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;3;2;0;1;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;626;Voorschoten;2324;Leiden;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;12;5;6;3;5;6;7;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;626;Voorschoten;2331;Leiden;06IX;00;BS de Vink;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Samenwerking Opb., RK;40745;0;1;1;2;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;626;Voorschoten;2251;Voorschoten;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;5;10;7;11;8;11;12;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71
20171001;626;Voorschoten;2252;Voorschoten;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;10;9;11;8;12;9;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83
20171001;626;Voorschoten;2253;Voorschoten;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;7;11;9;10;5;7;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57
20171001;626;Voorschoten;2254;Voorschoten;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;6;2;1;3;4;2;5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;27
20171001;626;Voorschoten;2331;Leiden;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2592;'s-Gravenhage;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;4818;Breda;06LP;00;Nutsbasissch Voorschoten;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Algemeen bijzonder;46243;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2235;Katwijk;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2251;Voorschoten;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;16;13;14;11;14;14;7;14;4;0;0;0;0;0;0;0;0;0;0;0;0;0;107
20171001;626;Voorschoten;2252;Voorschoten;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;15;15;10;9;13;13;8;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;94
20171001;626;Voorschoten;2253;Voorschoten;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;12;13;6;7;12;12;14;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;84
20171001;626;Voorschoten;2254;Voorschoten;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;1;4;6;3;7;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;626;Voorschoten;2264;Leidschendam-Voorburg;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2266;Leidschendam-Voorburg;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2321;Leiden;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2323;Leiden;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2324;Leiden;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2331;Leiden;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2522;'s-Gravenhage;09KZ;00;Basisschool Emmaus;2252LC;VOORSCHOTEN;Zuid-Holland;Bo;Rooms-Katholiek;41447;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2251;Voorschoten;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;41;34;44;52;47;51;48;43;5;0;0;0;0;0;0;0;0;0;0;0;0;0;365
20171001;626;Voorschoten;2252;Voorschoten;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;8;5;4;3;8;8;9;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49
20171001;626;Voorschoten;2253;Voorschoten;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;4;8;2;0;3;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;626;Voorschoten;2254;Voorschoten;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;626;Voorschoten;2263;Leidschendam-Voorburg;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2264;Leidschendam-Voorburg;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;626;Voorschoten;2266;Leidschendam-Voorburg;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2274;Leidschendam-Voorburg;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2312;Leiden;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2324;Leiden;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;626;Voorschoten;2331;Leiden;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;626;Voorschoten;2332;Leiden;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2524;'s-Gravenhage;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;3116;Schiedam;11AQ;00;Obs de Vos;2251ZM;VOORSCHOTEN;Zuid-Holland;Bo;Openbaar;42542;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;  40;Onbekend;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2134;Haarlemmermeer;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2235;Katwijk;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;626;Voorschoten;2241;Wassenaar;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2251;Voorschoten;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;2;5;3;6;3;8;6;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;626;Voorschoten;2252;Voorschoten;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;2;0;3;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;626;Voorschoten;2253;Voorschoten;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;35;35;35;35;35;28;22;21;3;0;0;0;0;0;0;0;0;0;0;0;0;0;249
20171001;626;Voorschoten;2254;Voorschoten;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;626;Voorschoten;2262;Leidschendam-Voorburg;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2312;Leiden;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;626;Voorschoten;2321;Leiden;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;1;1;2;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;626;Voorschoten;2324;Leiden;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;7;13;6;11;6;6;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;63
20171001;626;Voorschoten;2331;Leiden;11XA;00;Het Kompas;2253VX;VOORSCHOTEN;Zuid-Holland;Bo;Protestants-Christelijk;40540;0;5;1;4;3;5;1;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27
