PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;865;Vught;5071;Tilburg;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5074;Haaren;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5076;Haaren;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5231;'s-Hertogenbosch;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5258;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5261;Vught;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;865;Vught;5262;Vught;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;1;2;2;0;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;865;Vught;5268;Haaren;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5271;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5272;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5275;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5282;Boxtel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5291;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5293;Sint-Michielsgestel;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5481;Meierijstad;00TR;00;SSBO Hertog van Brabantschool;5262JH;VUGHT;Noord-Brabant;Sbo;Algemeen bijzonder;41619;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5224;'s-Hertogenbosch;04ZW;00;Basissch De Springplank;5261VK;VUGHT;Noord-Brabant;Bo;Rooms-Katholiek;39600;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5231;'s-Hertogenbosch;04ZW;00;Basissch De Springplank;5261VK;VUGHT;Noord-Brabant;Bo;Rooms-Katholiek;39600;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5261;Vught;04ZW;00;Basissch De Springplank;5261VK;VUGHT;Noord-Brabant;Bo;Rooms-Katholiek;39600;0;21;24;25;27;16;28;20;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;172
20171001;865;Vught;5262;Vught;04ZW;00;Basissch De Springplank;5261VK;VUGHT;Noord-Brabant;Bo;Rooms-Katholiek;39600;0;3;5;3;11;3;7;4;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;865;Vught;5263;Vught;04ZW;00;Basissch De Springplank;5261VK;VUGHT;Noord-Brabant;Bo;Rooms-Katholiek;39600;0;0;1;0;1;1;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;865;Vught;1072;Amsterdam;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5211;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;1;3;2;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;865;Vught;5212;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5213;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5216;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;865;Vught;5223;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;865;Vught;5224;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5231;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5232;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5237;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5243;'s-Hertogenbosch;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5256;Heusden;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;865;Vught;5258;Sint-Michielsgestel;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;865;Vught;5261;Vught;06BQ;00;OBS De Piramide;5262XE;VUGHT;Noord-Brabant;Bo;Openbaar;41633;0;20;14;16;18;9;10;16;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;115
