PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;867;Waalwijk;4265;Aalburg;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;4266;Aalburg;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;4267;Aalburg;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;4861;Alphen-Chaam;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;4944;Geertruidenberg;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;5041;Tilburg;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;867;Waalwijk;5126;Gilze en Rijen;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;5141;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;1;0;0;0;2;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;867;Waalwijk;5142;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;2;1;2;2;3;6;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;867;Waalwijk;5143;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;1;1;0;0;2;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;867;Waalwijk;5144;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;2;2;4;4;7;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;867;Waalwijk;5146;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;5151;Heusden;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;1;0;1;2;1;0;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;867;Waalwijk;5152;Heusden;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;867;Waalwijk;5161;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;1;2;1;0;2;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;867;Waalwijk;5165;Waalwijk;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;2;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;867;Waalwijk;5171;Loon op Zand;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;2;2;1;5;5;6;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;867;Waalwijk;5172;Loon op Zand;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;867;Waalwijk;5175;Loon op Zand;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;867;Waalwijk;5251;Heusden;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;867;Waalwijk;5252;Heusden;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;867;Waalwijk;5253;Heusden;00KZ;00;SSBO Het Zilverlicht;5143GH;WAALWIJK;Noord-Brabant;Sbo;Rooms-Katholiek;71008;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
