PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;627;Waddinxveen;1056;Amsterdam;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2741;Waddinxveen;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;3;4;6;3;5;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;627;Waddinxveen;2742;Waddinxveen;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;6;6;5;7;7;5;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;627;Waddinxveen;2743;Waddinxveen;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;3;3;1;1;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;627;Waddinxveen;2771;Alphen aan den Rijn;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;627;Waddinxveen;2803;Gouda;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;627;Waddinxveen;2804;Gouda;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2809;Gouda;03ZF;00;Geref Basisschool;2742TP;WADDINXVEEN;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;2391;Alphen aan den Rijn;06DN;00;Ned Herv Basissch Bethel;2742EB;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;0;1;3;1;1;3;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;627;Waddinxveen;2741;Waddinxveen;06DN;00;Ned Herv Basissch Bethel;2742EB;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;20;13;12;24;14;5;14;12;2;0;0;0;0;0;0;0;0;0;0;0;0;0;116
20171001;627;Waddinxveen;2742;Waddinxveen;06DN;00;Ned Herv Basissch Bethel;2742EB;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;17;21;17;13;13;17;10;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;122
20171001;627;Waddinxveen;2771;Alphen aan den Rijn;06DN;00;Ned Herv Basissch Bethel;2742EB;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;2;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;627;Waddinxveen;  30;ander land;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2265;Leidschendam-Voorburg;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2741;Waddinxveen;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;19;13;19;24;19;21;17;23;4;0;0;0;0;0;0;0;0;0;0;0;0;0;159
20171001;627;Waddinxveen;2742;Waddinxveen;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;4;11;13;9;13;16;20;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;98
20171001;627;Waddinxveen;2743;Waddinxveen;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;1;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;627;Waddinxveen;2752;Zuidplas;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2761;Zuidplas;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2802;Gouda;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;2806;Gouda;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;3738;De Bilt;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;5374;Landerd;07ST;00;Basisschool De Regenboog;2741XL;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2741;Waddinxveen;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;7;11;6;8;8;5;8;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
20171001;627;Waddinxveen;2742;Waddinxveen;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;11;9;17;8;5;6;10;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;627;Waddinxveen;2743;Waddinxveen;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;10;5;12;9;10;12;5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70
20171001;627;Waddinxveen;2761;Zuidplas;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2771;Alphen aan den Rijn;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;2811;Bodegraven-Reeuwijk;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;627;Waddinxveen;2841;Zuidplas;08JC;00;Rehobothsch;2743GC;WADDINXVEEN;Zuid-Holland;Bo;Reformatorisch;20243;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2641;Pijnacker-Nootdorp;09WM;00;Kard Alfrink;2743CR;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;627;Waddinxveen;2741;Waddinxveen;09WM;00;Kard Alfrink;2743CR;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;6;3;4;2;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;627;Waddinxveen;2742;Waddinxveen;09WM;00;Kard Alfrink;2743CR;WADDINXVEEN;Zuid-Holland;Bo;Rooms-Katholiek;40765;0;7;5;3;5;1;4;8;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;38
