PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;289;Wageningen;1222;Hilversum;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;289;Wageningen;6701;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;1;2;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;289;Wageningen;6702;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;289;Wageningen;6703;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;1;0;1;1;2;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;289;Wageningen;6704;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;289;Wageningen;6705;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;2;1;0;2;1;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;289;Wageningen;6706;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;1;4;2;2;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;289;Wageningen;6707;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;8;3;8;2;5;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35
20171001;289;Wageningen;6708;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;15;14;18;16;11;16;20;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127
20171001;289;Wageningen;6709;Wageningen;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;3;3;3;2;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;289;Wageningen;6717;Ede;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;289;Wageningen;6721;Ede;04AA;00;H J Piekschool;6708KP;WAGENINGEN;Gelderland;Bo;Algemeen bijzonder;62818;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
