PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;668;West Maas en Waal;6561;Berg en Dal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;668;West Maas en Waal;6621;West Maas en Waal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;668;West Maas en Waal;6627;West Maas en Waal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;668;West Maas en Waal;6651;Druten;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;668;West Maas en Waal;6657;West Maas en Waal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;668;West Maas en Waal;6658;West Maas en Waal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;37;30;34;23;18;18;11;13;6;0;0;0;0;0;0;0;0;0;0;0;0;0;190
20171001;668;West Maas en Waal;6659;West Maas en Waal;03BY;00;OBS De Wijzer;6658WS;BENEDEN-LEEUWEN;Gelderland;Bo;Openbaar;41340;0;0;0;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;668;West Maas en Waal;6621;West Maas en Waal;03UA;00;RK Basisschool Marienhof;6626AC;ALPHEN GLD;Gelderland;Bo;Rooms-Katholiek;41340;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;668;West Maas en Waal;6624;Maasdriel;03UA;00;RK Basisschool Marienhof;6626AC;ALPHEN GLD;Gelderland;Bo;Rooms-Katholiek;41340;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;668;West Maas en Waal;6626;West Maas en Waal;03UA;00;RK Basisschool Marienhof;6626AC;ALPHEN GLD;Gelderland;Bo;Rooms-Katholiek;41340;0;12;14;11;19;16;8;10;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;99
