PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1701;Westerveld;7991;Westerveld;05NN;00;CBS De Fontein;7991CL;DWINGELOO;Drenthe;Bo;Protestants-Christelijk;41196;0;4;3;3;5;10;4;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44
20171001;1701;Westerveld;7974;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1701;Westerveld;8325;Steenwijkerland;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8331;Steenwijkerland;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;8346;Steenwijkerland;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;1;0;0;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1701;Westerveld;8347;Steenwijkerland;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;1;5;1;3;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1701;Westerveld;8351;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8381;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;2;1;1;2;1;4;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;1701;Westerveld;8383;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;2;2;4;2;2;6;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;1701;Westerveld;8384;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8386;Westerveld;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8388;Weststellingwerf;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1701;Westerveld;8391;Weststellingwerf;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;8395;Weststellingwerf;05RN;00;PC Basisschool Nyensleek;8383EK;NIJENSLEEK;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7975;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7981;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;2;5;5;4;7;5;3;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;40
20171001;1701;Westerveld;7983;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1701;Westerveld;7984;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7986;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1701;Westerveld;7991;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;8351;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8381;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8438;Westerveld;07LB;00;Basisschool Roosjen;7981AC;DIEVER;Drenthe;Bo;Protestants-Christelijk;41196;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7941;Meppel;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7942;Meppel;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7971;Westerveld;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;25;22;19;28;20;22;32;29;4;0;0;0;0;0;0;0;0;0;0;0;0;0;201
20171001;1701;Westerveld;7973;Westerveld;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;4;2;3;1;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;1701;Westerveld;7974;Westerveld;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1701;Westerveld;7975;Westerveld;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;0;1;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;1701;Westerveld;8385;Westerveld;10DF;00;BS De Bosrank;7971BC;HAVELTE;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7971;Westerveld;10UX;00;OBS De Veldwikke;7973KH;DARP;Drenthe;Bo;Openbaar;41868;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7973;Westerveld;10UX;00;OBS De Veldwikke;7973KH;DARP;Drenthe;Bo;Openbaar;41868;0;8;5;5;3;4;3;7;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;1701;Westerveld;7974;Westerveld;10UX;00;OBS De Veldwikke;7973KH;DARP;Drenthe;Bo;Openbaar;41868;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1701;Westerveld;8331;Steenwijkerland;11IZ;00;KC De Vuursteen;8351HR;WAPSERVEEN;Drenthe;Bo;Openbaar;41868;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8345;Steenwijkerland;11IZ;00;KC De Vuursteen;8351HR;WAPSERVEEN;Drenthe;Bo;Openbaar;41868;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1701;Westerveld;8351;Westerveld;11IZ;00;KC De Vuursteen;8351HR;WAPSERVEEN;Drenthe;Bo;Openbaar;41868;0;7;14;5;7;6;4;7;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
20171001;1701;Westerveld;8382;Westerveld;11IZ;00;KC De Vuursteen;8351HR;WAPSERVEEN;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8383;Westerveld;11IZ;00;KC De Vuursteen;8351HR;WAPSERVEEN;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;2614;Delft;11UN;00;Oosterveldschool;7975AC;UFFELTE;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7975;Westerveld;11UN;00;Oosterveldschool;7975AC;UFFELTE;Drenthe;Bo;Openbaar;41868;0;8;9;8;12;10;15;10;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84
20171001;1701;Westerveld;7986;Westerveld;11UN;00;Oosterveldschool;7975AC;UFFELTE;Drenthe;Bo;Openbaar;41868;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;7991;Westerveld;11UN;00;Oosterveldschool;7975AC;UFFELTE;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8391;Weststellingwerf;11UN;00;Oosterveldschool;7975AC;UFFELTE;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7983;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8381;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;14;10;13;10;8;10;12;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;85
20171001;1701;Westerveld;8382;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8383;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8385;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8386;Westerveld;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1701;Westerveld;8391;Weststellingwerf;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;8566;De Fryske Marren;18MM;00;OBS De Hoekstee;8381BL;VLEDDER;Drenthe;Bo;Openbaar;41868;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7964;De Wolden;18NW;00;Burg W A Storkschool;7991CL;DWINGELOO;Drenthe;Bo;Openbaar;41868;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1701;Westerveld;7981;Westerveld;18NW;00;Burg W A Storkschool;7991CL;DWINGELOO;Drenthe;Bo;Openbaar;41868;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
