PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;293;Westervoort;5036;Tilburg;05ZZ;00;Daltonschool Het Ravelijn;6932CA;WESTERVOORT;Gelderland;Bo;Openbaar;77235;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;293;Westervoort;6921;Duiven;05ZZ;00;Daltonschool Het Ravelijn;6932CA;WESTERVOORT;Gelderland;Bo;Openbaar;77235;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;293;Westervoort;6931;Westervoort;05ZZ;00;Daltonschool Het Ravelijn;6932CA;WESTERVOORT;Gelderland;Bo;Openbaar;77235;0;5;6;7;5;7;5;7;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;47
20171001;293;Westervoort;6932;Westervoort;05ZZ;00;Daltonschool Het Ravelijn;6932CA;WESTERVOORT;Gelderland;Bo;Openbaar;77235;0;12;17;16;24;22;24;24;20;3;0;0;0;0;0;0;0;0;0;0;0;0;0;162
20171001;293;Westervoort;6988;Zevenaar;05ZZ;00;Daltonschool Het Ravelijn;6932CA;WESTERVOORT;Gelderland;Bo;Openbaar;77235;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;293;Westervoort;6826;Arnhem;07NF;00;Sportbasisschool Het Startblok;6931CH;WESTERVOORT;Gelderland;Bo;Protestants-Christelijk;42148;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;293;Westervoort;6883;Rheden;07NF;00;Sportbasisschool Het Startblok;6931CH;WESTERVOORT;Gelderland;Bo;Protestants-Christelijk;42148;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;293;Westervoort;6921;Duiven;07NF;00;Sportbasisschool Het Startblok;6931CH;WESTERVOORT;Gelderland;Bo;Protestants-Christelijk;42148;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;293;Westervoort;6922;Duiven;07NF;00;Sportbasisschool Het Startblok;6931CH;WESTERVOORT;Gelderland;Bo;Protestants-Christelijk;42148;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;293;Westervoort;6931;Westervoort;07NF;00;Sportbasisschool Het Startblok;6931CH;WESTERVOORT;Gelderland;Bo;Protestants-Christelijk;42148;0;9;10;16;7;6;10;16;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86
