PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1783;Westland;2286;Rijswijk;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2291;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2291;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
20171001;1783;Westland;2292;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2295;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2295;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;3
20171001;1783;Westland;2493;'s-Gravenhage;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2542;'s-Gravenhage;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2551;'s-Gravenhage;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;1783;Westland;2587;'s-Gravenhage;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2635;Midden-Delfland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2671;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1783;Westland;2671;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;2;1;2;0;4;3;0;0;0;0;0;0;0;13
20171001;1783;Westland;2672;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2672;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2675;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2675;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;4
20171001;1783;Westland;2676;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2678;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1783;Westland;2678;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;3
20171001;1783;Westland;2681;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1783;Westland;2681;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;1;1;1;5;2;3;1;0;0;0;0;0;15
20171001;1783;Westland;2685;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2685;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2691;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1783;Westland;2691;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;1;0;1;4;3;0;1;0;0;0;0;0;0;11
20171001;1783;Westland;2692;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2692;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;0;0;4
20171001;1783;Westland;2693;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2694;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2694;Westland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
20171001;1783;Westland;2717;Zoetermeer;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3132;Vlaardingen;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3141;Maassluis;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3141;Maassluis;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3142;Maassluis;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3146;Maassluis;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3151;Rotterdam;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3151;Rotterdam;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;1;0;0;0;0;0;0;5
20171001;1783;Westland;3155;Midden-Delfland;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;5283;Boxtel;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;So;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;8315;Noordoostpolder;00PZ;01;Herman Broerenschool;2671HS;NAALDWIJK;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2201;Noordwijk;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2264;Leidschendam-Voorburg;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2291;Westland;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;3
20171001;1783;Westland;2548;'s-Gravenhage;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2582;'s-Gravenhage;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2586;'s-Gravenhage;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2597;'s-Gravenhage;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2671;Westland;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2
20171001;1783;Westland;2672;Westland;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;2681;Westland;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;0;0;0;0;0;0;0;0;6
20171001;1783;Westland;2694;Westland;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3132;Vlaardingen;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
20171001;1783;Westland;3151;Rotterdam;00PZ;03;Herman Broerenschool;2681JC;MONSTER;Zuid-Holland;Vso;Algemeen bijzonder;38209;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1
