PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;98;Weststellingwerf;8331;Steenwijkerland;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;98;Weststellingwerf;8332;Steenwijkerland;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;98;Weststellingwerf;8381;Westerveld;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;98;Weststellingwerf;8388;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;98;Weststellingwerf;8389;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;1;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;98;Weststellingwerf;8391;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;6;4;6;3;4;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;98;Weststellingwerf;8392;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;98;Weststellingwerf;8393;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;98;Weststellingwerf;8397;Weststellingwerf;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;98;Weststellingwerf;8401;Opsterland;00CV;00;School Matthijsje;8388NA;OOSTERSTREEK;Friesland;Bo;Algemeen bijzonder;20210;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
