PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;614;Westvoorne;  40;Onbekend;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3037;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3072;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3073;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;614;Westvoorne;3074;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3075;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3076;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3081;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3082;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3142;Maassluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3181;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;4;0;5;3;4;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;614;Westvoorne;3192;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3193;Rotterdam;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3201;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;2;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;614;Westvoorne;3203;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3204;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;614;Westvoorne;3205;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3206;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3207;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3208;Nissewaard;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3221;Hellevoetsluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;614;Westvoorne;3222;Hellevoetsluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;614;Westvoorne;3223;Hellevoetsluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;1;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;614;Westvoorne;3224;Hellevoetsluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;1;2;0;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;614;Westvoorne;3225;Hellevoetsluis;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;3;0;4;5;2;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;26
20171001;614;Westvoorne;3231;Brielle;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;614;Westvoorne;3232;Brielle;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;614;Westvoorne;3233;Westvoorne;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;5;3;10;10;6;4;0;0;0;0;0;0;0;0;0;0;0;0;0;38
20171001;614;Westvoorne;3235;Westvoorne;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3237;Brielle;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;614;Westvoorne;3238;Brielle;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3247;Goeree-Overflakkee;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3248;Goeree-Overflakkee;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3251;Goeree-Overflakkee;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3252;Goeree-Overflakkee;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3253;Goeree-Overflakkee;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3331;Zwijndrecht;01AI;00;Mw Dr CP Gelinksch;3233AV;OOSTVOORNE;Zuid-Holland;So;Algemeen bijzonder;62077;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3222;Hellevoetsluis;04TJ;00;Baron De Vos V Steenwijk;3235BV;ROCKANJE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;614;Westvoorne;3235;Westvoorne;04TJ;00;Baron De Vos V Steenwijk;3235BV;ROCKANJE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;11;6;9;12;17;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;75
20171001;614;Westvoorne;3192;Rotterdam;07JU;00;CNS De Nieuwe Weg;3233BK;OOSTVOORNE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;614;Westvoorne;3205;Nissewaard;07JU;00;CNS De Nieuwe Weg;3233BK;OOSTVOORNE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;614;Westvoorne;3232;Brielle;07JU;00;CNS De Nieuwe Weg;3233BK;OOSTVOORNE;Zuid-Holland;Bo;Protestants-Christelijk;41507;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
