PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1696;Wijdemeren;1231;Wijdemeren;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1244;Wijdemeren;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1251;Laren;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1381;Weesp;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1382;Weesp;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1383;Weesp;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;1696;Wijdemeren;1394;Wijdemeren;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;15;39;25;31;19;19;24;18;3;0;0;0;0;0;0;0;0;0;0;0;0;0;193
20171001;1696;Wijdemeren;1432;Aalsmeer;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1696;Wijdemeren;3062;Rotterdam;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;3633;Stichtse Vecht;03SJ;00;RK Jozef-School;1394GM;NEDERHORST DEN BERG;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;1696;Wijdemeren;1211;Hilversum;03WH;00;RK Basissch St Antonius;1241HC;KORTENHOEF;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1216;Hilversum;03WH;00;RK Basissch St Antonius;1241HC;KORTENHOEF;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1218;Hilversum;03WH;00;RK Basissch St Antonius;1241HC;KORTENHOEF;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1696;Wijdemeren;1221;Hilversum;03WH;00;RK Basissch St Antonius;1241HC;KORTENHOEF;Noord-Holland;Bo;Rooms-Katholiek;78912;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
