PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;632;Woerden;1701;Heerhugowaard;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;2411;Bodegraven-Reeuwijk;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;1;1;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;632;Woerden;2415;Bodegraven-Reeuwijk;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;632;Woerden;3405;Lopik;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;3417;Montfoort;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;1;2;1;0;6;3;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24
20171001;632;Woerden;3421;Oudewater;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;3;2;0;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;632;Woerden;3425;Oudewater;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;3441;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;632;Woerden;3442;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;2;1;3;1;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;632;Woerden;3443;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;1;0;4;0;0;3;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;632;Woerden;3445;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;1;0;0;2;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;632;Woerden;3446;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;1;0;1;3;1;5;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;632;Woerden;3448;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;1;2;6;1;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;18
20171001;632;Woerden;3461;Montfoort;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;1;0;0;2;2;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;632;Woerden;3466;Bodegraven-Reeuwijk;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;3467;Oudewater;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;632;Woerden;3471;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;3;0;3;1;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;632;Woerden;3474;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;2;2;2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;632;Woerden;3481;Woerden;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;1;0;2;1;1;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;632;Woerden;3621;Stichtse Vecht;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;632;Woerden;3628;Stichtse Vecht;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;632;Woerden;3641;De Ronde Venen;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;632;Woerden;3648;De Ronde Venen;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;1;0;1;0;2;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13
20171001;632;Woerden;3708;Zeist;01KJ;00;De Keerkring;3443EJ;WOERDEN;Utrecht;Sbo;Algemeen bijzonder;70002;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;2415;Bodegraven-Reeuwijk;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;632;Woerden;3421;Oudewater;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;632;Woerden;3442;Woerden;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;4;3;3;4;1;7;2;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;30
20171001;632;Woerden;3443;Woerden;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;1;1;3;4;3;2;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;632;Woerden;3445;Woerden;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;3;5;10;1;5;8;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39
20171001;632;Woerden;3446;Woerden;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;0;1;2;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;632;Woerden;3448;Woerden;03RK;00;Jan De Bakker School;3442XH;WOERDEN;Utrecht;Bo;Reformatorisch;43188;0;0;2;3;4;2;3;5;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;22
