PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;351;Woudenberg;3931;Woudenberg;10AH;00;Jan Ligthartschool;3931LJ;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;32;26;25;31;29;39;33;27;1;0;0;0;0;0;0;0;0;0;0;0;0;0;243
20171001;351;Woudenberg;3953;Utrechtse Heuvelrug;10AH;00;Jan Ligthartschool;3931LJ;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;351;Woudenberg;5035;Tilburg;10AH;00;Jan Ligthartschool;3931LJ;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;351;Woudenberg;6741;Ede;10AH;00;Jan Ligthartschool;3931LJ;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;351;Woudenberg;9581;Stadskanaal;10AH;00;Jan Ligthartschool;3931LJ;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;351;Woudenberg;3818;Amersfoort;10RI;00;Koningin Julianaschool;3931PT;WOUDENBERG;Utrecht;Bo;Protestants-Christelijk;41337;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;351;Woudenberg;3931;Woudenberg;10RI;00;Koningin Julianaschool;3931PT;WOUDENBERG;Utrecht;Bo;Protestants-Christelijk;41337;0;27;33;24;37;18;29;29;30;2;0;0;0;0;0;0;0;0;0;0;0;0;0;229
20171001;351;Woudenberg;3956;Utrechtse Heuvelrug;10RI;00;Koningin Julianaschool;3931PT;WOUDENBERG;Utrecht;Bo;Protestants-Christelijk;41337;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;351;Woudenberg;3831;Leusden;10SO;00;Griftschool;3931AB;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;351;Woudenberg;3832;Leusden;10SO;00;Griftschool;3931AB;WOUDENBERG;Utrecht;Bo;Openbaar;41481;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
