PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;874;Woudrichem;4251;Werkendam;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4254;Werkendam;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;4255;Werkendam;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;3;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;874;Woudrichem;4269;Aalburg;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4271;Werkendam;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4281;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4283;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;0;2;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;874;Woudrichem;4284;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;874;Woudrichem;4285;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;4286;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;6;3;2;3;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;874;Woudrichem;4287;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;1;1;2;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;874;Woudrichem;4288;Woudrichem;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;874;Woudrichem;4847;Breda;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4904;Oosterhout;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;4907;Oosterhout;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;5321;Maasdriel;00FE;00;Geref Basissch De Halm;4286BV;ALMKERK;Noord-Brabant;Bo;Gereformeerd vrijgemaakt;41646;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;874;Woudrichem;4261;Aalburg;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;10;13;14;11;14;11;12;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96
20171001;874;Woudrichem;4264;Aalburg;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;3;0;4;7;3;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;874;Woudrichem;4267;Aalburg;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;4268;Aalburg;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;1;1;2;1;1;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;874;Woudrichem;4269;Aalburg;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;874;Woudrichem;4281;Woudrichem;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;3;0;2;2;2;3;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;874;Woudrichem;4283;Woudrichem;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;874;Woudrichem;4285;Woudrichem;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;874;Woudrichem;4286;Woudrichem;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;874;Woudrichem;5305;Zaltbommel;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;3;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;874;Woudrichem;5306;Zaltbommel;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;6;2;3;5;5;3;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;874;Woudrichem;5307;Zaltbommel;04CN;00;Ds Gisbertus Voetiussch;4281LT;ANDEL;Noord-Brabant;Bo;Reformatorisch;41825;0;0;2;1;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
