PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;479;Zaanstad;1501;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;479;Zaanstad;1502;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;479;Zaanstad;1503;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;2;0;1;2;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;479;Zaanstad;1504;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;3;0;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;479;Zaanstad;1505;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;2;0;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;479;Zaanstad;1506;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;479;Zaanstad;1507;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;2;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;479;Zaanstad;1508;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;479;Zaanstad;1509;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;1;0;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;479;Zaanstad;1511;Oostzaan;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;479;Zaanstad;1521;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;479;Zaanstad;1531;Wormerland;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;479;Zaanstad;1541;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;479;Zaanstad;1544;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;479;Zaanstad;1551;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;479;Zaanstad;1561;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;479;Zaanstad;1562;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;1;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;479;Zaanstad;1566;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;479;Zaanstad;1567;Zaanstad;00UN;00;Tijstroom;1503TS;ZAANDAM;Noord-Holland;Sbo;Interconfessioneel;41251;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;479;Zaanstad;  30;ander land;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;479;Zaanstad;1069;Amsterdam;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;479;Zaanstad;1521;Zaanstad;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;37;30;33;27;34;37;24;32;2;0;0;0;0;0;0;0;0;0;0;0;0;0;256
20171001;479;Zaanstad;1531;Wormerland;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;0;0;2;1;2;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;479;Zaanstad;1544;Zaanstad;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;479;Zaanstad;1561;Zaanstad;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;479;Zaanstad;1566;Zaanstad;03TL;00;Basisschool Toermalijn;1521DZ;WORMERVEER;Noord-Holland;Bo;Samenwerking PC, RK;41251;0;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
