PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;473;Zandvoort;2033;Haarlem;08TO;00;Hannie Schaft Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2041;Zandvoort;08TO;00;Hannie Schaft Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;14;14;12;17;9;13;16;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104
20171001;473;Zandvoort;2042;Zandvoort;08TO;00;Hannie Schaft Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;7;14;21;6;16;11;20;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;105
20171001;473;Zandvoort;2134;Haarlemmermeer;08TO;00;Hannie Schaft Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;  10;Belgie;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;  30;ander land;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;473;Zandvoort;1521;Zaanstad;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;1906;Castricum;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2041;Zandvoort;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;15;12;17;13;14;14;18;16;2;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;473;Zandvoort;2042;Zandvoort;09RU;00;Basisschool De Duinroos;2041BM;ZANDVOORT;Noord-Holland;Bo;Openbaar;41500;0;0;3;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;473;Zandvoort;1016;Amsterdam;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;2021;Haarlem;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;2041;Zandvoort;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;12;9;9;13;14;20;10;12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;103
20171001;473;Zandvoort;2042;Zandvoort;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;34;29;27;23;33;29;20;21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;217
20171001;473;Zandvoort;2061;Bloemendaal;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;2104;Heemstede;14YU;00;Oranje Nassauschool;2042CH;ZANDVOORT;Noord-Holland;Bo;Protestants-Christelijk;85255;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;  40;Onbekend;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;1055;Amsterdam;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2011;Haarlem;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2035;Haarlem;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2041;Zandvoort;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;11;16;5;19;10;5;13;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;91
20171001;473;Zandvoort;2042;Zandvoort;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;6;6;10;10;10;7;13;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;73
20171001;473;Zandvoort;2114;Bloemendaal;17KI;00;Maria Basissch;2042LZ;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;1076;Amsterdam;17LI;00;Nicolaassch V Basisond;2041BM;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;1095;Amsterdam;17LI;00;Nicolaassch V Basisond;2041BM;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2041;Zandvoort;17LI;00;Nicolaassch V Basisond;2041BM;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;12;9;12;9;7;21;13;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;97
20171001;473;Zandvoort;2042;Zandvoort;17LI;00;Nicolaassch V Basisond;2041BM;ZANDVOORT;Noord-Holland;Bo;Rooms-Katholiek;40775;0;1;0;1;0;1;1;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;473;Zandvoort;1827;Alkmaar;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2012;Haarlem;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;2013;Haarlem;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2021;Haarlem;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;473;Zandvoort;2034;Haarlem;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;473;Zandvoort;2041;Zandvoort;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;2;4;3;3;4;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28
20171001;473;Zandvoort;2042;Zandvoort;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;9;5;6;9;6;4;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51
20171001;473;Zandvoort;2051;Bloemendaal;29YJ;00;De School;2041BM;ZANDVOORT;Noord-Holland;Bo;Algemeen bijzonder;20281;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
