PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;637;Zoetermeer;2266;Leidschendam-Voorburg;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;637;Zoetermeer;2492;'s-Gravenhage;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;637;Zoetermeer;2493;'s-Gravenhage;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;637;Zoetermeer;2632;Pijnacker-Nootdorp;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;637;Zoetermeer;2712;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;637;Zoetermeer;2713;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;637;Zoetermeer;2715;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;2;1;1;2;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;637;Zoetermeer;2716;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;3;2;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;637;Zoetermeer;2717;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;2;1;2;0;4;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;637;Zoetermeer;2718;Zoetermeer;00AP;00;De Schanskorf;2715BT;ZOETERMEER;Zuid-Holland;Bo;Gereformeerd vrijgemaakt;41646;0;1;0;1;3;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
