PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;638;Zoeterwoude;  40;Onbekend;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;638;Zoeterwoude;2266;Leidschendam-Voorburg;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;638;Zoeterwoude;2316;Leiden;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2322;Leiden;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;638;Zoeterwoude;2323;Leiden;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2381;Zoeterwoude;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;4;5;8;8;12;17;12;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;81
20171001;638;Zoeterwoude;2382;Zoeterwoude;04HD;00;Basisschool De Corbulo;2381EA;ZOETERWOUDE;Zuid-Holland;Bo;Openbaar;28601;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2311;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2312;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2313;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;638;Zoeterwoude;2314;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;638;Zoeterwoude;2315;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2317;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2331;Leiden;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;638;Zoeterwoude;2352;Leiderdorp;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;638;Zoeterwoude;2353;Leiderdorp;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2381;Zoeterwoude;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;638;Zoeterwoude;2382;Zoeterwoude;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;21;22;20;20;24;27;18;15;3;0;0;0;0;0;0;0;0;0;0;0;0;0;170
20171001;638;Zoeterwoude;2394;Alphen aan den Rijn;07NB;00;St Bernardusschool;2382EA;ZOETERWOUDE;Zuid-Holland;Bo;Rooms-Katholiek;57266;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
