PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;56;Zuidhorn;3402;IJsselstein;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9361;Marum;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9801;Zuidhorn;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;36;40;51;40;31;43;43;36;4;0;0;0;0;0;0;0;0;0;0;0;0;0;324
20171001;56;Zuidhorn;9804;Zuidhorn;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;1;1;1;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;56;Zuidhorn;9805;Zuidhorn;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;1;2;2;4;4;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;56;Zuidhorn;9822;Grootegast;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9832;Zuidhorn;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9833;Zuidhorn;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9861;Grootegast;03FT;00;Openbare Basisschool De Borgh;9801AM;ZUIDHORN;Groningen;Bo;Openbaar;41846;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9728;Groningen;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9744;Groningen;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9746;Groningen;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9831;Zuidhorn;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;10;20;19;14;14;13;14;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;120
20171001;56;Zuidhorn;9832;Zuidhorn;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9833;Zuidhorn;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;3;1;2;2;3;3;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
20171001;56;Zuidhorn;9892;Winsum;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;56;Zuidhorn;9893;Winsum;07IM;00;SWS De Adeborg;9831PL;ADUARD;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9231;Achtkarspelen;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9821;Grootegast;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9842;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;2;3;1;2;3;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;56;Zuidhorn;9843;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;11;15;23;19;21;35;23;19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;167
20171001;56;Zuidhorn;9844;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9845;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;56;Zuidhorn;9851;Kollumerland en Nieuwkruisland;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;56;Zuidhorn;9861;Grootegast;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9882;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;56;Zuidhorn;9885;Zuidhorn;07YQ;00;CBS De Borgstee;9843ES;GRIJPSKERK;Groningen;Bo;Protestants-Christelijk;41571;0;3;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;56;Zuidhorn;9831;Zuidhorn;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9883;Zuidhorn;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;8;11;17;15;18;15;11;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121
20171001;56;Zuidhorn;9884;Zuidhorn;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;0;3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;56;Zuidhorn;9886;Zuidhorn;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9966;De Marne;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;56;Zuidhorn;9973;De Marne;08AF;00;SWS de Humstee;9883PR;OLDEHOVE;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9842;Zuidhorn;08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;56;Zuidhorn;9881;Zuidhorn;08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;Groningen;Bo;Protestants-Christelijk;41571;0;2;1;4;1;4;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;56;Zuidhorn;9882;Zuidhorn;08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;Groningen;Bo;Protestants-Christelijk;41571;0;4;4;3;2;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21
20171001;56;Zuidhorn;9884;Zuidhorn;08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;Groningen;Bo;Protestants-Christelijk;41571;0;0;1;0;1;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;56;Zuidhorn;9885;Zuidhorn;08AI;00;CBS De Rietstek;9882PM;KOMMERZIJL;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9785;Bedum;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9801;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;26;14;19;17;22;16;11;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;137
20171001;56;Zuidhorn;9804;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;5;4;4;5;2;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;56;Zuidhorn;9805;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;56;Zuidhorn;9811;Leek;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;2;2;1;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;56;Zuidhorn;9812;Leek;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9822;Grootegast;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;3;0;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;56;Zuidhorn;9828;Leek;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;1;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;56;Zuidhorn;9831;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;2;6;5;4;1;0;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25
20171001;56;Zuidhorn;9832;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;1;0;0;1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;56;Zuidhorn;9833;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;9842;Zuidhorn;09JJ;00;Geref. Basisschool De Brug;9801HG;ZUIDHORN;Groningen;Bo;Gereformeerd vrijgemaakt;42607;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;56;Zuidhorn;  30;ander land;11XF;00;CBS het Anker;9801AM;ZUIDHORN;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9321;Noordenveld;11XF;00;CBS het Anker;9801AM;ZUIDHORN;Groningen;Bo;Protestants-Christelijk;41571;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9728;Groningen;11XF;00;CBS het Anker;9801AM;ZUIDHORN;Groningen;Bo;Protestants-Christelijk;41571;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;56;Zuidhorn;9801;Zuidhorn;11XF;00;CBS het Anker;9801AM;ZUIDHORN;Groningen;Bo;Protestants-Christelijk;41571;0;33;35;34;35;24;19;25;21;4;1;0;0;0;0;0;0;0;0;0;0;0;0;231
