PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;1892;Zuidplas;2841;Zuidplas;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;1892;Zuidplas;2904;Capelle aan den IJssel;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1892;Zuidplas;2905;Capelle aan den IJssel;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;1892;Zuidplas;2907;Capelle aan den IJssel;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;1;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1892;Zuidplas;2908;Capelle aan den IJssel;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;1892;Zuidplas;2911;Zuidplas;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;5;3;4;5;2;5;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33
20171001;1892;Zuidplas;2912;Zuidplas;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;9;13;7;5;8;7;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61
20171001;1892;Zuidplas;2914;Zuidplas;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;7;6;10;3;7;4;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
20171001;1892;Zuidplas;3059;Rotterdam;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;5;4;7;6;11;2;8;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;52
20171001;1892;Zuidplas;3068;Rotterdam;01VR;00;Montessorischool;2912CR;NIEUWERKERK AD IJSSEL;Zuid-Holland;Bo;Algemeen bijzonder;41226;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
