PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;879;Zundert;4881;Zundert;03NO;00;RK Basissch De Wegwijzer;4885AH;ACHTMAAL;Noord-Brabant;Bo;Rooms-Katholiek;78066;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4884;Zundert;03NO;00;RK Basissch De Wegwijzer;4885AH;ACHTMAAL;Noord-Brabant;Bo;Rooms-Katholiek;78066;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;879;Zundert;4885;Zundert;03NO;00;RK Basissch De Wegwijzer;4885AH;ACHTMAAL;Noord-Brabant;Bo;Rooms-Katholiek;78066;0;14;13;11;12;14;14;8;11;4;0;0;0;0;0;0;0;0;0;0;0;0;0;101
20171001;879;Zundert;1051;Amsterdam;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4271;Werkendam;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4671;Steenbergen;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4691;Tholen;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4702;Roosendaal;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4793;Moerdijk;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4811;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;879;Zundert;4812;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;879;Zundert;4813;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;879;Zundert;4814;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;0;1;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;879;Zundert;4815;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;879;Zundert;4816;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;879;Zundert;4817;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;879;Zundert;4818;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;879;Zundert;4822;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;2;4;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;15
20171001;879;Zundert;4823;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;1;2;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;879;Zundert;4824;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;879;Zundert;4826;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;879;Zundert;4827;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;879;Zundert;4834;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;879;Zundert;4835;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;879;Zundert;4844;Drimmelen;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4847;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;879;Zundert;4854;Breda;07WD;00;De Koperakker;4891SN;RIJSBERGEN;Noord-Brabant;So;Algemeen bijzonder;41200;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
