PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;301;Zutphen;  30;ander land;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;301;Zutphen;2565;'s-Gravenhage;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;301;Zutphen;3893;Zeewolde;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;301;Zutphen;5455;Mill en Sint Hubert;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;301;Zutphen;6971;Brummen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;1;1;1;1;2;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11
20171001;301;Zutphen;6974;Brummen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;301;Zutphen;7201;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;1;1;6;8;6;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;301;Zutphen;7202;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;301;Zutphen;7203;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;10;9;9;10;11;12;8;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;79
20171001;301;Zutphen;7204;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;5;4;7;3;7;3;2;4;2;0;0;0;0;0;0;0;0;0;0;0;0;0;37
20171001;301;Zutphen;7205;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;2;2;0;1;3;3;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;16
20171001;301;Zutphen;7206;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;1;3;2;4;0;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19
20171001;301;Zutphen;7207;Zutphen;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;1;2;2;4;4;4;3;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;301;Zutphen;7211;Lochem;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;3;4;2;4;4;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29
20171001;301;Zutphen;7213;Lochem;03JS;00;De Zonnewwende;7203GC;ZUTPHEN;Gelderland;Bo;Antroposofisch;28212;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
