PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;642;Zwijndrecht;2951;Alblasserdam;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;2992;Barendrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;2995;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;642;Zwijndrecht;3331;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;2;4;4;9;6;3;4;2;0;0;0;0;0;0;0;0;0;0;0;0;34
20171001;642;Zwijndrecht;3332;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;1;3;1;2;7;1;12;3;1;0;0;0;0;0;0;0;0;0;0;0;0;31
20171001;642;Zwijndrecht;3333;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;1;2;0;1;5;3;6;9;5;0;0;0;0;0;0;0;0;0;0;0;0;0;32
20171001;642;Zwijndrecht;3334;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;4;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;14
20171001;642;Zwijndrecht;3335;Zwijndrecht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;642;Zwijndrecht;3341;Hendrik-Ido-Ambacht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;642;Zwijndrecht;3342;Hendrik-Ido-Ambacht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;1;2;3;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;642;Zwijndrecht;3343;Hendrik-Ido-Ambacht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;1;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;642;Zwijndrecht;3344;Hendrik-Ido-Ambacht;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;1;1;0;4;3;1;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;17
20171001;642;Zwijndrecht;4285;Woudrichem;00UE;00;SBO De Steenen Kamer;3332KP;ZWIJNDRECHT;Zuid-Holland;Sbo;Algemeen bijzonder;41417;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;2991;Barendrecht;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;1;0;1;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6
20171001;642;Zwijndrecht;2995;Zwijndrecht;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;8;17;11;10;12;18;10;21;2;0;0;0;0;0;0;0;0;0;0;0;0;0;109
20171001;642;Zwijndrecht;3075;Rotterdam;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;3131;Vlaardingen;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;3331;Zwijndrecht;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;3332;Zwijndrecht;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;3335;Zwijndrecht;04MZ;00;KC De Rank;2995VN;HEERJANSDAM;Zuid-Holland;Bo;Protestants-Christelijk;80433;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;642;Zwijndrecht;3317;Dordrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;642;Zwijndrecht;3331;Zwijndrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;3;13;10;9;13;9;10;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;79
20171001;642;Zwijndrecht;3332;Zwijndrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;7;11;7;9;8;5;5;14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;67
20171001;642;Zwijndrecht;3333;Zwijndrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;4;3;4;5;3;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22
20171001;642;Zwijndrecht;3334;Zwijndrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;0;1;2;3;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9
20171001;642;Zwijndrecht;3335;Zwijndrecht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;0;2;2;1;2;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;642;Zwijndrecht;3341;Hendrik-Ido-Ambacht;06KQ;00;Ds. Abraham Hellenbroek;3332RN;ZWIJNDRECHT;Zuid-Holland;Bo;Reformatorisch;43175;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
