PEILDATUM;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE_LEERLING;GEMEENTENAAM_LEERLING;BRIN_NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM_VESTIGING;POSTCODE_VESTIGING;PLAATSNAAM;PROVINCIE;SOORT_PO;DENOMINATIE_VESTIGING;BEVOEGD_GEZAG_NUMMER;LEEFTIJD_JONGER;LEEFTIJD_4;LEEFTIJD_5;LEEFTIJD_6;LEEFTIJD_7;LEEFTIJD_8;LEEFTIJD_9;LEEFTIJD_10;LEEFTIJD_11;LEEFTIJD_12;LEEFTIJD_13;LEEFTIJD_14;LEEFTIJD_15;LEEFTIJD_16;LEEFTIJD_17;LEEFTIJD_18;LEEFTIJD_19;LEEFTIJD_20;LEEFTIJD_21;LEEFTIJD_22;LEEFTIJD_23;LEEFTIJD_24;LEEFTIJD_OUDER;TOTAAL
20171001;63;het Bildt;9071;Leeuwarderadeel;04IY;00;Samenwerkingsschool De Syl;9078VE;OUDEBILDTZIJL;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9075;het Bildt;04IY;00;Samenwerkingsschool De Syl;9078VE;OUDEBILDTZIJL;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9076;het Bildt;04IY;00;Samenwerkingsschool De Syl;9078VE;OUDEBILDTZIJL;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9078;het Bildt;04IY;00;Samenwerkingsschool De Syl;9078VE;OUDEBILDTZIJL;Friesland;Bo;Protestants-Christelijk;40632;0;1;12;12;7;14;12;13;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;79
20171001;63;het Bildt;8851;Franekeradeel;06QM;00;Basisschool De Wizebeam;9047KG;MINNERTSGA;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9047;het Bildt;06QM;00;Basisschool De Wizebeam;9047KG;MINNERTSGA;Friesland;Bo;Protestants-Christelijk;40632;0;7;13;10;13;6;9;21;9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;90
20171001;63;het Bildt;9075;het Bildt;06QM;00;Basisschool De Wizebeam;9047KG;MINNERTSGA;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;8801;Franekeradeel;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;Friesland;Bo;Protestants-Christelijk;40632;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9045;Menameradiel;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9072;het Bildt;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;Friesland;Bo;Protestants-Christelijk;40632;0;7;3;4;5;1;7;5;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;41
20171001;63;het Bildt;9076;het Bildt;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;Friesland;Bo;Protestants-Christelijk;40632;0;0;1;4;5;3;0;5;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23
20171001;63;het Bildt;9079;het Bildt;06ST;00;CBS De Noordster;9072AK;NIJ ALTOENAE;Friesland;Bo;Protestants-Christelijk;40632;0;0;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;63;het Bildt;9075;het Bildt;17XF;00;Slotschool;9076EC;ST.-ANNAPAROCHIE;Friesland;Bo;Protestants-Christelijk;40632;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9076;het Bildt;17XF;00;Slotschool;9076EC;ST.-ANNAPAROCHIE;Friesland;Bo;Protestants-Christelijk;40632;0;13;16;7;20;26;21;10;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;134
20171001;63;het Bildt;9079;het Bildt;17XF;00;Slotschool;9076EC;ST.-ANNAPAROCHIE;Friesland;Bo;Protestants-Christelijk;40632;0;1;1;0;0;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
20171001;63;het Bildt;1544;Zaanstad;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;8801;Franekeradeel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;8802;Franekeradeel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;8855;Franekeradeel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9034;Menameradiel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9035;Menameradiel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9036;Menameradiel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;63;het Bildt;9041;Menameradiel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;63;het Bildt;9047;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;63;het Bildt;9051;Leeuwarderadeel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9072;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;63;het Bildt;9074;Ferwerderadiel;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9075;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
20171001;63;het Bildt;9076;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;30;31;33;33;20;38;28;31;10;2;0;0;0;0;0;0;0;0;0;0;0;0;256
20171001;63;het Bildt;9077;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9078;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;63;het Bildt;9079;het Bildt;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;1;0;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10
20171001;63;het Bildt;9341;Noordenveld;18PT;00;Obs 't Fonnemint;9076CP;ST.-ANNAPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3
20171001;63;het Bildt;8862;Harlingen;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9035;Menameradiel;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9075;het Bildt;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;2;0;1;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
20171001;63;het Bildt;9076;het Bildt;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
20171001;63;het Bildt;9079;het Bildt;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;14;12;10;10;15;15;17;13;4;0;0;0;0;0;0;0;0;0;0;0;0;0;110
20171001;63;het Bildt;9204;Smallingerland;18RU;00;OBS De Opstap;9079LA;ST.-JACOBIPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
20171001;63;het Bildt;9071;Leeuwarderadeel;18TK;00;SWS de Fierljepper;9077SG;VROUWENPAROCHIE;Friesland;Bo;Openbaar;41693;0;0;1;2;1;3;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12
20171001;63;het Bildt;9077;het Bildt;18TK;00;SWS de Fierljepper;9077SG;VROUWENPAROCHIE;Friesland;Bo;Openbaar;41693;0;5;8;5;4;5;7;3;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;63;het Bildt;9047;het Bildt;18UL;00;OBS De Lytse Terp;9047JJ;MINNERTSGA;Friesland;Bo;Openbaar;41693;0;3;5;4;6;7;6;6;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;43
20171001;63;het Bildt;9075;het Bildt;18UL;00;OBS De Lytse Terp;9047JJ;MINNERTSGA;Friesland;Bo;Openbaar;41693;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
20171001;63;het Bildt;9079;het Bildt;18UL;00;OBS De Lytse Terp;9047JJ;MINNERTSGA;Friesland;Bo;Openbaar;41693;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
